,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
240,14.0,Sơn La,2015.0,3.0,293.0,72.0,22.5,61.3,188.1,21.328716,103.914528,0
241,14.0,Sơn La,2015.0,4.0,202.0,70.0,23.5,75.1,222.1,21.328716,103.914528,0
242,14.0,Sơn La,2015.0,5.0,39.0,68.0,27.5,42.6,291.1,21.328716,103.914528,0
243,14.0,Sơn La,2015.0,6.0,1.0,78.0,26.5,359.8,193.5,21.328716,103.914528,0
244,14.0,Sơn La,2015.0,10.0,4.0,81.0,22.7,86.0,221.2,21.328716,103.914528,0
245,14.0,Sơn La,2015.0,11.0,2.0,82.0,21.3,44.9,183.1,21.328716,103.914528,0
246,14.0,Sơn La,2015.0,12.0,1.0,87.0,15.7,101.2,103.2,21.328716,103.914528,0
247,14.0,Sơn La,2016.0,1.0,8.0,84.0,15.2,100.8,148.2,21.328716,103.914528,0
248,14.0,Sơn La,2016.0,2.0,91.0,76.0,13.9,32.8,120.2,21.328716,103.914528,0
249,14.0,Sơn La,2016.0,3.0,492.0,74.0,19.8,19.1,193.3,21.328716,103.914528,0
250,14.0,Sơn La,2016.0,4.0,336.0,71.0,25.2,160.1,258.4,21.328716,103.914528,0
251,14.0,Sơn La,2016.0,12.0,1.0,76.0,17.1,1.9,196.0,21.328716,103.914528,0
288,36.0,Nam Định,2011.0,5.0,6.0,81.0,26.6,180.9,160.6,20.25,106.25,1
289,36.0,Nam Định,2011.0,6.0,4.0,80.0,29.6,212.6,168.8,20.25,106.25,1
290,36.0,Nam Định,2011.0,7.0,2.0,79.0,29.6,288.4,191.2,20.25,106.25,1
291,36.0,Nam Định,2011.0,8.0,23.0,82.0,28.9,284.9,180.0,20.25,106.25,1
292,36.0,Nam Định,2011.0,9.0,5.0,85.0,27.1,477.7,112.7,20.25,106.25,1
293,36.0,Nam Định,2011.0,10.0,2.0,84.0,23.9,147.4,65.7,20.25,106.25,1
294,36.0,Nam Định,2011.0,12.0,1.0,72.0,17.0,13.1,67.9,20.25,106.25,1
295,36.0,Nam Định,2012.0,5.0,6.0,84.0,28.5,177.0,173.4,20.25,106.25,1
296,36.0,Nam Định,2012.0,6.0,4.0,78.0,30.0,208.5,117.5,20.25,106.25,1
297,36.0,Nam Định,2012.0,7.0,2.0,80.0,29.7,263.5,175.8,20.25,106.25,1
298,36.0,Nam Định,2012.0,8.0,23.0,84.0,28.7,328.4,158.9,20.25,106.25,1
299,36.0,Nam Định,2012.0,9.0,5.0,83.0,27.1,320.2,131.2,20.25,106.25,1
300,36.0,Nam Định,2012.0,10.0,2.0,80.0,26.1,173.7,112.6,20.25,106.25,1
301,36.0,Nam Định,2012.0,12.0,1.0,85.0,18.9,35.3,42.7,20.25,106.25,1
302,36.0,Nam Định,2013.0,5.0,6.0,83.0,28.5,140.9,175.7,20.25,106.25,1
303,36.0,Nam Định,2013.0,6.0,4.0,79.0,29.3,151.7,167.8,20.25,106.25,1
304,36.0,Nam Định,2013.0,7.0,2.0,86.0,28.5,423.8,131.7,20.25,106.25,1
305,36.0,Nam Định,2013.0,8.0,23.0,85.0,28.8,332.7,153.8,20.25,106.25,1
306,36.0,Nam Định,2013.0,9.0,5.0,88.0,26.4,378.6,90.3,20.25,106.25,1
307,36.0,Nam Định,2013.0,10.0,2.0,79.0,25.0,115.8,123.9,20.25,106.25,1
308,36.0,Nam Định,2013.0,12.0,1.0,76.0,15.4,15.0,154.5,20.25,106.25,1
309,36.0,Nam Định,2014.0,5.0,6.0,81.0,28.6,168.5,191.0,20.25,106.25,1
310,36.0,Nam Định,2014.0,6.0,4.0,82.0,29.9,218.5,152.0,20.25,106.25,1
311,36.0,Nam Định,2014.0,7.0,2.0,83.0,29.5,274.4,135.4,20.25,106.25,1
312,36.0,Nam Định,2014.0,8.0,23.0,85.0,28.6,246.4,112.3,20.25,106.25,1
313,36.0,Nam Định,2014.0,9.0,5.0,82.0,28.7,288.3,187.1,20.25,106.25,1
314,36.0,Nam Định,2014.0,10.0,2.0,79.0,26.3,185.5,137.3,20.25,106.25,1
315,36.0,Nam Định,2014.0,12.0,1.0,75.0,16.9,20.5,83.5,20.25,106.25,1
316,36.0,Nam Định,2015.0,5.0,6.0,79.0,30.0,88.2,233.7,20.25,106.25,1
317,36.0,Nam Định,2015.0,6.0,4.0,76.0,30.8,146.0,227.7,20.25,106.25,1
318,36.0,Nam Định,2015.0,7.0,2.0,76.0,29.5,113.8,136.5,20.25,106.25,1
319,36.0,Nam Định,2015.0,8.0,23.0,79.0,29.6,271.6,191.8,20.25,106.25,1
320,36.0,Nam Định,2015.0,9.0,5.0,86.0,28.1,348.6,134.8,20.25,106.25,1
321,36.0,Nam Định,2015.0,10.0,2.0,79.0,26.3,81.0,147.7,20.25,106.25,1
322,36.0,Nam Định,2015.0,12.0,1.0,84.0,18.4,42.5,50.4,20.25,106.25,1
323,36.0,Nam Định,2016.0,5.0,6.0,82.0,28.4,116.7,155.4,20.25,106.25,1
324,36.0,Nam Định,2016.0,6.0,4.0,77.0,30.7,92.0,221.4,20.25,106.25,1
325,36.0,Nam Định,2016.0,7.0,2.0,79.0,30.3,296.7,177.5,20.25,106.25,1
326,36.0,Nam Định,2016.0,8.0,23.0,83.0,29.2,446.2,131.6,20.25,106.25,1
327,36.0,Nam Định,2016.0,9.0,5.0,82.0,28.5,220.9,118.1,20.25,106.25,1
328,36.0,Nam Định,2016.0,10.0,2.0,80.0,27.1,78.3,146.9,20.25,106.25,1
329,36.0,Nam Định,2016.0,12.0,1.0,75.0,20.5,1.9,95.7,20.25,106.25,1
359,46.0,Huế,2011.0,2.0,14.0,91.0,19.4,14.3,101.6,16.4666648,107.5999976,1
360,46.0,Huế,2011.0,3.0,6.0,92.0,18.9,167.4,73.4,16.4666648,107.5999976,1
361,46.0,Huế,2011.0,4.0,8.0,88.0,23.9,72.9,149.9,16.4666648,107.5999976,1
362,46.0,Huế,2011.0,5.0,9.0,84.0,27.1,148.9,218.9,16.4666648,107.5999976,1
363,46.0,Huế,2011.0,6.0,6.0,79.0,28.7,88.1,217.9,16.4666648,107.5999976,1
364,46.0,Huế,2011.0,7.0,4.0,76.0,29.0,16.0,216.9,16.4666648,107.5999976,1
365,46.0,Huế,2011.0,8.0,16.0,81.0,28.4,59.3,204.7,16.4666648,107.5999976,1
366,46.0,Huế,2011.0,9.0,13.0,89.0,26.7,741.5,105.7,16.4666648,107.5999976,1
367,46.0,Huế,2011.0,10.0,1.0,92.0,24.6,1259.5,84.9,16.4666648,107.5999976,1
368,46.0,Huế,2011.0,11.0,8.0,91.0,23.6,842.4,101.0,16.4666648,107.5999976,1
369,46.0,Huế,2012.0,2.0,4.0,91.0,20.0,76.1,62.7,16.4666648,107.5999976,1
370,46.0,Huế,2012.0,3.0,8.0,89.0,22.5,17.4,111.3,16.4666648,107.5999976,1
371,46.0,Huế,2012.0,4.0,11.0,83.0,26.2,51.1,180.1,16.4666648,107.5999976,1
372,46.0,Huế,2012.0,5.0,4.0,80.0,28.4,216.1,240.7,16.4666648,107.5999976,1
373,46.0,Huế,2012.0,6.0,9.0,76.0,29.2,20.4,194.4,16.4666648,107.5999976,1
374,46.0,Huế,2012.0,7.0,8.0,74.0,28.9,25.4,236.3,16.4666648,107.5999976,1
375,46.0,Huế,2012.0,8.0,5.0,74.0,29.0,168.9,231.2,16.4666648,107.5999976,1
376,46.0,Huế,2012.0,9.0,27.0,89.0,26.5,436.1,144.8,16.4666648,107.5999976,1
377,46.0,Huế,2012.0,10.0,20.0,88.0,25.4,409.2,177.8,16.4666648,107.5999976,1
378,46.0,Huế,2012.0,11.0,11.0,90.0,25.0,489.1,146.7,16.4666648,107.5999976,1
379,46.0,Huế,2012.0,12.0,12.0,91.0,22.7,304.3,108.9,16.4666648,107.5999976,1
380,46.0,Huế,2013.0,1.0,1.0,90.0,19.8,47.3,89.4,16.4666648,107.5999976,1
381,46.0,Huế,2013.0,2.0,10.0,90.0,22.9,27.2,143.4,16.4666648,107.5999976,1
382,46.0,Huế,2013.0,3.0,19.0,88.0,24.6,64.1,159.1,16.4666648,107.5999976,1
383,46.0,Huế,2013.0,4.0,12.0,86.0,26.2,25.4,159.6,16.4666648,107.5999976,1
384,46.0,Huế,2013.0,5.0,4.0,79.0,28.7,43.4,261.0,16.4666648,107.5999976,1
385,46.0,Huế,2013.0,6.0,5.0,79.0,28.4,96.0,225.7,16.4666648,107.5999976,1
386,46.0,Huế,2013.0,7.0,5.0,83.0,27.9,117.9,207.0,16.4666648,107.5999976,1
387,46.0,Huế,2013.0,8.0,8.0,80.0,28.3,39.3,181.5,16.4666648,107.5999976,1
388,46.0,Huế,2013.0,9.0,5.0,89.0,26.6,569.0,129.2,16.4666648,107.5999976,1
389,46.0,Huế,2013.0,10.0,9.0,91.0,24.6,517.1,115.5,16.4666648,107.5999976,1
390,46.0,Huế,2013.0,11.0,1.0,93.0,23.6,1089.0,77.0,16.4666648,107.5999976,1
391,46.0,Huế,2014.0,1.0,14.0,90.0,18.7,76.3,108.2,16.4666648,107.5999976,1
392,46.0,Huế,2014.0,2.0,15.0,91.0,20.4,28.6,135.0,16.4666648,107.5999976,1
393,46.0,Huế,2014.0,3.0,13.0,91.0,23.0,16.9,109.1,16.4666648,107.5999976,1
394,46.0,Huế,2014.0,4.0,14.0,85.0,27.2,5.3,195.2,16.4666648,107.5999976,1
395,46.0,Huế,2014.0,5.0,11.0,78.0,29.3,79.5,274.7,16.4666648,107.5999976,1
396,46.0,Huế,2014.0,6.0,1.0,72.0,30.3,6.7,222.2,16.4666648,107.5999976,1
397,46.0,Huế,2014.0,7.0,2.0,80.0,29.0,224.7,232.5,16.4666648,107.5999976,1
398,46.0,Huế,2014.0,8.0,9.0,79.0,28.6,135.6,207.4,16.4666648,107.5999976,1
399,46.0,Huế,2014.0,9.0,12.0,84.0,27.8,44.9,216.0,16.4666648,107.5999976,1
400,46.0,Huế,2014.0,10.0,7.0,90.0,25.2,694.6,147.3,16.4666648,107.5999976,1
401,46.0,Huế,2014.0,11.0,11.0,91.0,24.6,225.0,148.4,16.4666648,107.5999976,1
402,46.0,Huế,2015.0,1.0,7.0,89.0,19.5,71.1,120.1,16.4666648,107.5999976,1
403,46.0,Huế,2015.0,2.0,4.0,90.0,21.8,64.2,135.3,16.4666648,107.5999976,1
404,46.0,Huế,2015.0,3.0,14.0,88.0,25.1,180.5,167.7,16.4666648,107.5999976,1
405,46.0,Huế,2015.0,4.0,10.0,87.0,25.8,151.7,199.1,16.4666648,107.5999976,1
406,46.0,Huế,2015.0,5.0,9.0,77.0,29.5,40.5,287.3,16.4666648,107.5999976,1
407,46.0,Huế,2015.0,6.0,5.0,76.0,29.5,33.8,270.1,16.4666648,107.5999976,1
408,46.0,Huế,2015.0,7.0,4.0,81.0,28.2,69.0,133.9,16.4666648,107.5999976,1
409,46.0,Huế,2015.0,8.0,15.0,80.0,28.9,51.7,256.5,16.4666648,107.5999976,1
410,46.0,Huế,2015.0,9.0,25.0,85.0,28.3,246.6,225.2,16.4666648,107.5999976,1
411,46.0,Huế,2015.0,10.0,30.0,90.0,25.1,457.6,166.2,16.4666648,107.5999976,1
412,46.0,Huế,2015.0,11.0,10.0,90.0,25.4,526.6,170.5,16.4666648,107.5999976,1
413,46.0,Huế,2015.0,12.0,8.0,92.0,21.8,313.0,105.1,16.4666648,107.5999976,1
414,46.0,Huế,2016.0,1.0,2.0,93.0,20.9,124.3,48.9,16.4666648,107.5999976,1
415,46.0,Huế,2016.0,2.0,18.0,90.0,18.3,86.4,66.5,16.4666648,107.5999976,1
416,46.0,Huế,2016.0,3.0,41.0,91.0,22.4,24.8,121.2,16.4666648,107.5999976,1
417,46.0,Huế,2016.0,4.0,70.0,86.0,27.3,26.2,191.6,16.4666648,107.5999976,1
418,46.0,Huế,2016.0,5.0,25.0,82.0,28.5,108.0,218.0,16.4666648,107.5999976,1
419,46.0,Huế,2016.0,6.0,16.0,80.0,29.4,102.4,249.4,16.4666648,107.5999976,1
420,46.0,Huế,2016.0,7.0,14.0,80.0,29.2,84.4,267.7,16.4666648,107.5999976,1
421,46.0,Huế,2016.0,8.0,13.0,80.0,29.2,165.9,198.2,16.4666648,107.5999976,1
422,46.0,Huế,2016.0,9.0,18.0,87.0,27.8,661.9,163.9,16.4666648,107.5999976,1
423,46.0,Huế,2016.0,10.0,22.0,90.0,26.6,618.6,131.5,16.4666648,107.5999976,1
424,46.0,Huế,2016.0,11.0,7.0,91.0,24.6,577.3,76.3,16.4666648,107.5999976,1
458,48.0,Đà Nẵng,2011.0,6.0,9.0,74.0,29.3,100.5,222.9,16.031944,108.220556,1
459,48.0,Đà Nẵng,2011.0,7.0,6.0,70.0,29.7,12.8,232.8,16.031944,108.220556,1
460,48.0,Đà Nẵng,2011.0,8.0,13.0,75.0,29.2,139.1,231.1,16.031944,108.220556,1
461,48.0,Đà Nẵng,2011.0,9.0,31.0,87.0,26.9,812.1,105.5,16.031944,108.220556,1
462,48.0,Đà Nẵng,2011.0,10.0,8.0,86.0,25.6,791.3,107.7,16.031944,108.220556,1
463,48.0,Đà Nẵng,2011.0,11.0,1.0,85.0,24.6,1218.0,115.3,16.031944,108.220556,1
464,48.0,Đà Nẵng,2011.0,12.0,1.0,88.0,20.8,339.2,18.1,16.031944,108.220556,1
465,48.0,Đà Nẵng,2012.0,6.0,9.0,69.0,30.6,46.1,183.5,16.031944,108.220556,1
466,48.0,Đà Nẵng,2012.0,7.0,6.0,72.0,29.5,32.0,242.0,16.031944,108.220556,1
467,48.0,Đà Nẵng,2012.0,8.0,13.0,72.0,29.7,180.5,219.4,16.031944,108.220556,1
468,48.0,Đà Nẵng,2012.0,9.0,31.0,85.0,27.4,581.7,168.5,16.031944,108.220556,1
469,48.0,Đà Nẵng,2012.0,10.0,8.0,83.0,26.3,367.5,162.5,16.031944,108.220556,1
470,48.0,Đà Nẵng,2012.0,11.0,1.0,86.0,26.0,302.4,156.2,16.031944,108.220556,1
471,48.0,Đà Nẵng,2012.0,12.0,1.0,84.0,24.5,59.5,132.5,16.031944,108.220556,1
472,48.0,Đà Nẵng,2013.0,6.0,9.0,72.0,29.6,25.2,237.4,16.031944,108.220556,1
473,48.0,Đà Nẵng,2013.0,7.0,6.0,79.0,28.6,131.5,214.5,16.031944,108.220556,1
