,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude
221,14.0,Sơn La,2013.0,2.0,29.0,80.0,19.6,13.6,155.2,21.328716,103.914528
222,14.0,Sơn La,2013.0,3.0,328.0,68.0,22.3,33.4,229.2,21.328716,103.914528
223,14.0,Sơn La,2013.0,4.0,60.0,75.0,23.1,89.2,192.7,21.328716,103.914528
224,14.0,Sơn La,2013.0,5.0,19.0,81.0,25.1,183.9,225.0,21.328716,103.914528
225,14.0,Sơn La,2013.0,6.0,2.0,83.0,25.1,201.4,184.5,21.328716,103.914528
226,14.0,Sơn La,2013.0,9.0,1.0,84.0,23.7,120.4,153.9,21.328716,103.914528
227,14.0,Sơn La,2013.0,10.0,4.0,79.0,21.1,22.4,163.1,21.328716,103.914528
228,14.0,Sơn La,2013.0,11.0,4.0,79.0,19.6,0.5,129.1,21.328716,103.914528
229,14.0,Sơn La,2013.0,12.0,43.0,77.0,13.0,109.3,179.5,21.328716,103.914528
230,14.0,Sơn La,2014.0,1.0,83.0,77.0,14.4,1.4,188.4,21.328716,103.914528
231,14.0,Sơn La,2014.0,2.0,259.0,72.0,16.8,21.4,183.1,21.328716,103.914528
232,14.0,Sơn La,2014.0,3.0,487.0,74.0,21.4,36.5,183.2,21.328716,103.914528
233,14.0,Sơn La,2014.0,4.0,100.0,75.0,25.3,75.1,208.8,21.328716,103.914528
234,14.0,Sơn La,2014.0,5.0,22.0,75.0,25.8,129.6,242.2,21.328716,103.914528
235,14.0,Sơn La,2014.0,6.0,3.0,84.0,25.8,252.1,134.7,21.328716,103.914528
236,14.0,Sơn La,2014.0,10.0,2.0,82.0,22.0,29.0,205.1,21.328716,103.914528
237,14.0,Sơn La,2014.0,11.0,10.0,85.0,19.8,143.6,149.4,21.328716,103.914528
238,14.0,Sơn La,2015.0,1.0,55.0,80.0,14.8,76.3,181.0,21.328716,103.914528
239,14.0,Sơn La,2015.0,2.0,115.0,75.0,17.7,1.6,150.1,21.328716,103.914528
240,14.0,Sơn La,2015.0,3.0,293.0,72.0,22.5,61.3,188.1,21.328716,103.914528
241,14.0,Sơn La,2015.0,4.0,202.0,70.0,23.5,75.1,222.1,21.328716,103.914528
242,14.0,Sơn La,2015.0,5.0,39.0,68.0,27.5,42.6,291.1,21.328716,103.914528
243,14.0,Sơn La,2015.0,6.0,1.0,78.0,26.5,359.8,193.5,21.328716,103.914528
244,14.0,Sơn La,2015.0,10.0,4.0,81.0,22.7,86.0,221.2,21.328716,103.914528
245,14.0,Sơn La,2015.0,11.0,2.0,82.0,21.3,44.9,183.1,21.328716,103.914528
246,14.0,Sơn La,2015.0,12.0,1.0,87.0,15.7,101.2,103.2,21.328716,103.914528
247,14.0,Sơn La,2016.0,1.0,8.0,84.0,15.2,100.8,148.2,21.328716,103.914528
248,14.0,Sơn La,2016.0,2.0,91.0,76.0,13.9,32.8,120.2,21.328716,103.914528
249,14.0,Sơn La,2016.0,3.0,492.0,74.0,19.8,19.1,193.3,21.328716,103.914528
250,14.0,Sơn La,2016.0,4.0,336.0,71.0,25.2,160.1,258.4,21.328716,103.914528
251,14.0,Sơn La,2016.0,12.0,1.0,76.0,17.1,1.9,196.0,21.328716,103.914528
252,14.0,Sơn La,2017.0,1.0,3.0,82.0,17.1,150.8,102.3,21.328716,103.914528
253,14.0,Sơn La,2017.0,2.0,141.0,73.0,17.0,19.5,156.2,21.328716,103.914528
254,14.0,Sơn La,2017.0,3.0,452.0,70.0,21.1,83.9,200.1,21.328716,103.914528
255,14.0,Sơn La,2017.0,4.0,373.0,75.0,23.0,112.2,187.1,21.328716,103.914528
256,14.0,Sơn La,2017.0,5.0,254.0,74.0,24.6,81.1,231.1,21.328716,103.914528
257,14.0,Sơn La,2017.0,6.0,15.0,78.0,26.1,136.2,162.2,21.328716,103.914528
258,14.0,Sơn La,2017.0,7.0,11.0,84.0,25.2,227.5,157.2,21.328716,103.914528
259,14.0,Sơn La,2017.0,8.0,5.0,85.0,25.1,319.5,145.6,21.328716,103.914528
260,14.0,Sơn La,2017.0,9.0,78.0,83.0,25.2,105.4,172.4,21.328716,103.914528
