,Ma_Tinh,Thang,So_Diem_Chay,Nam
1784,35,8,10,2018
1785,35,9,41,2018
1786,35,10,37,2018
1787,35,11,24,2018
1788,35,12,15,2018
1789,35,2,11,2019
1790,35,3,58,2019
1791,35,4,48,2019
1792,35,5,11,2019
1793,35,6,17,2019
1794,35,7,11,2019
1795,35,8,19,2019
1796,35,9,33,2019
1797,35,10,44,2019
1798,35,11,11,2019
1799,35,12,7,2019
1800,35,1,14,2020
1801,35,2,3,2020
1802,35,5,18,2020
1803,35,6,19,2020
1804,35,8,4,2020
1805,36,5,6,2011
1806,36,6,4,2011
1807,36,7,2,2011
1808,36,8,23,2011
1809,36,9,5,2011
1810,36,10,2,2011
1811,36,12,1,2011
1812,36,5,6,2012
1813,36,6,4,2012
1814,36,7,2,2012
1815,36,8,23,2012
1816,36,9,5,2012
1817,36,10,2,2012
1818,36,12,1,2012
1819,36,5,6,2013
1820,36,6,4,2013
1821,36,7,2,2013
1822,36,8,23,2013
1823,36,9,5,2013
1824,36,10,2,2013
1825,36,12,1,2013
1826,36,5,6,2014
1827,36,6,4,2014
1828,36,7,2,2014
1829,36,8,23,2014
1830,36,9,5,2014
1831,36,10,2,2014
1832,36,12,1,2014
1833,36,5,6,2015
1834,36,6,4,2015
1835,36,7,2,2015
1836,36,8,23,2015
1837,36,9,5,2015
1838,36,10,2,2015
1839,36,12,1,2015
1840,36,5,6,2016
1841,36,6,4,2016
1842,36,7,2,2016
1843,36,8,23,2016
1844,36,9,5,2016
1845,36,10,2,2016
1846,36,12,1,2016
1847,36,5,6,2017
1848,36,6,4,2017
1849,36,7,2,2017
1850,36,8,23,2017
1851,36,9,5,2017
1852,36,10,2,2017
1853,36,12,1,2017
1854,36,1,3,2018
1855,36,2,3,2018
1856,36,3,73,2018
1857,36,4,46,2018
1858,36,5,7,2018
1859,36,6,8,2018
1860,36,7,28,2018
1861,36,8,7,2018
1862,36,9,23,2018
1863,36,10,9,2018
1864,36,11,2,2018
1865,36,12,1,2018
1866,36,2,2,2019
1867,36,3,3,2019
1868,36,4,18,2019
1869,36,5,10,2019
1870,36,6,26,2019
1871,36,7,3,2019
1872,36,8,7,2019
1873,36,9,6,2019
1874,36,11,1,2019
1875,36,12,2,2019
1876,36,1,1,2020
1877,36,5,5,2020
1878,36,6,10,2020
1879,36,8,4,2020
1880,37,4,2,2011
1881,37,4,2,2012
1882,37,4,2,2013
1883,37,1,1,2014
1884,37,2,4,2014
1885,37,10,3,2014
1886,37,12,1,2014
1887,37,1,1,2015
1888,37,2,4,2015
1889,37,10,3,2015
1890,37,12,1,2015
1891,37,1,1,2016
1892,37,2,4,2016
1893,37,10,3,2016
1894,37,12,1,2016
1895,37,4,1,2017
1896,37,5,8,2017
1897,37,6,14,2017
1898,37,7,15,2017
1899,37,8,22,2017
1900,37,9,11,2017
1901,37,10,10,2017
1902,37,11,19,2017
1903,37,12,25,2017
1904,37,1,2,2018
1905,37,2,40,2018
1906,37,3,75,2018
1907,37,4,48,2018
1908,37,5,9,2018
1909,37,6,10,2018
1910,37,7,18,2018
1911,37,8,7,2018
1912,37,9,34,2018
1913,37,10,25,2018
1914,37,11,21,2018
1915,37,12,7,2018
1916,37,1,6,2019
1917,37,2,44,2019
1918,37,3,47,2019
1919,37,4,82,2019
1920,37,5,30,2019
1921,37,6,11,2019
1922,37,7,5,2019
1923,37,8,7,2019
1924,37,9,19,2019
1925,37,10,40,2019
1926,37,11,7,2019
1927,37,12,3,2019
1928,37,1,8,2020
1929,37,5,12,2020
1930,37,6,9,2020
1931,37,8,4,2020
1932,38,1,1,2011
1933,38,2,5,2011
1934,38,3,13,2011
1935,38,4,69,2011
1936,38,5,85,2011
1937,38,6,14,2011
1938,38,7,6,2011
1939,38,8,3,2011
1940,38,10,3,2011
1941,38,12,4,2011
1942,38,1,2,2012
1943,38,3,25,2012
1944,38,4,108,2012
1945,38,5,69,2012
1946,38,6,3,2012
1947,38,10,1,2012
1948,38,11,2,2012
1949,38,12,1,2012
1950,38,1,4,2013
1951,38,2,3,2013
1952,38,3,46,2013
1953,38,4,28,2013
1954,38,5,58,2013
1955,38,6,38,2013
1956,38,7,2,2013
1957,38,8,4,2013
1958,38,9,1,2013
1959,38,10,2,2013
1960,38,12,27,2013
1961,38,1,23,2014
1962,38,2,4,2014
1963,38,3,29,2014
1964,38,4,55,2014
1965,38,5,80,2014
1966,38,6,13,2014
1967,38,8,1,2014
1968,38,9,3,2014
1969,38,10,1,2014
1970,38,11,5,2014
1971,38,12,17,2014
1972,38,1,11,2015
1973,38,2,11,2015
1974,38,3,23,2015
1975,38,4,85,2015
1976,38,5,79,2015
1977,38,6,14,2015
1978,38,7,7,2015
1979,38,8,3,2015
1980,38,9,3,2015
1981,38,10,10,2015
1982,38,11,2,2015
1983,38,12,3,2015
1984,38,1,13,2016
1985,38,2,34,2016
1986,38,3,11,2016
1987,38,4,63,2016
1988,38,1,4,2017
1989,38,2,43,2017
1990,38,3,14,2017
1991,38,4,230,2017
1992,38,5,759,2017
1993,38,6,98,2017
1994,38,7,36,2017
1995,38,8,47,2017
1996,38,9,69,2017
1997,38,10,50,2017
1998,38,11,46,2017
1999,38,12,149,2017
2000,38,1,81,2018
2001,38,2,331,2018
2002,38,3,800,2018
2003,38,4,1456,2018
2004,38,5,327,2018
2005,38,6,107,2018
2006,38,7,171,2018
2007,38,8,44,2018
2008,38,9,226,2018
2009,38,10,216,2018
2010,38,11,150,2018
2011,38,12,111,2018
2012,38,1,38,2019
2013,38,2,295,2019
2014,38,3,483,2019
2015,38,4,2738,2019
2016,38,5,154,2019
2017,38,6,76,2019
2018,38,7,41,2019
2019,38,8,41,2019
2020,38,9,103,2019
2021,38,10,98,2019
2022,38,11,34,2019
2023,38,12,25,2019
2024,38,1,55,2020
2025,38,2,138,2020
2026,38,3,26,2020
2027,38,4,25,2020
2028,38,5,190,2020
2029,38,6,41,2020
2030,38,7,3,2020
2031,38,8,15,2020
2032,40,2,17,2011
2033,40,3,11,2011
2034,40,4,48,2011
2035,40,5,200,2011
2036,40,6,171,2011
2037,40,7,160,2011
2038,40,8,2,2011
2039,40,9,3,2011
2040,40,1,1,2012
2041,40,2,24,2012
2042,40,3,69,2012
2043,40,4,99,2012
2044,40,5,98,2012
2045,40,6,75,2012
2046,40,7,8,2012
2047,40,8,2,2012
2048,40,10,2,2012
2049,40,11,3,2012
2050,40,12,3,2012
2051,40,1,3,2013
2052,40,2,3,2013
2053,40,3,76,2013
2054,40,4,59,2013
2055,40,5,176,2013
2056,40,6,276,2013
2057,40,7,25,2013
2058,40,9,1,2013
2059,40,10,13,2013
2060,40,11,2,2013
2061,40,12,14,2013
2062,40,1,34,2014
2063,40,2,28,2014
2064,40,3,126,2014
2065,40,4,124,2014
2066,40,5,222,2014
